song_name,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence,artist_name,album_names,playlist
Boulevard of Broken Dreams,73,262333,0.00552,0.496,0.682,2.94E-05,8,0.0589,-4.095,1,0.0294,167.06,4,0.474,Green Day,Greatest Hits: God's Favorite Band,00s Rock Anthems
In The End,66,216933,0.0103,0.542,0.853,0,3,0.108,-6.407,0,0.0498,105.256,4,0.37,Linkin Park,Hybrid Theory,00s Rock Anthems
Seven Nation Army,76,231733,0.00817,0.737,0.463,0.447,0,0.255,-7.828,1,0.0792,123.881,4,0.324,The White Stripes,Elephant,00s Rock Anthems
By The Way,74,216933,0.0264,0.451,0.97,0.00355,0,0.102,-4.938,1,0.107,122.444,4,0.198,Red Hot Chili Peppers,By The Way (Deluxe Version),00s Rock Anthems
How You Remind Me,56,223826,0.000954,0.447,0.766,0,10,0.113,-5.065,1,0.0313,172.011,4,0.574,Nickelback,Silver Side Up,00s Rock Anthems
Bring Me To Life,80,235893,0.00895,0.316,0.945,1.85E-06,4,0.396,-3.169,0,0.124,189.931,4,0.32,Evanescence,Fallen,00s Rock Anthems
Last Resort,81,199893,0.000504,0.581,0.887,0.00111,4,0.268,-3.659,0,0.0624,90.578,4,0.724,Papa Roach,Infest,00s Rock Anthems
Are You Gonna Be My Girl,76,213800,0.00148,0.613,0.953,0.000582,2,0.152,-3.435,1,0.0855,105.046,4,0.537,Jet,Get Born,00s Rock Anthems
Mr. Brightside,80,222586,0.00108,0.33,0.936,0,1,0.0926,-3.66,1,0.0917,148.112,4,0.234,The Killers,Hot Fuss,00s Rock Anthems
Sex on Fire,81,203346,0.00172,0.542,0.905,0.0104,9,0.136,-5.653,1,0.054,153.398,4,0.374,Kings of Leon,Only By The Night,00s Rock Anthems
The Middle,78,168253,0.0424,0.629,0.897,0,2,0.263,-3.401,1,0.0483,161.944,4,0.93,Jimmy Eat World,Bleed American (Deluxe Edition),00s Rock Anthems
Numb,63,185586,0.0046,0.496,0.863,0,9,0.639,-4.153,1,0.0381,110.018,4,0.243,Linkin Park,Meteora,00s Rock Anthems
Smooth Criminal,75,209266,0.00434,0.647,0.964,0.0036,9,0.15,-4.225,0,0.06,126.942,4,0.875,Alien Ant Farm,Anthology,00s Rock Anthems
Can't Stop,81,269000,0.0179,0.618,0.938,0,9,0.167,-3.442,1,0.0456,91.455,4,0.875,Red Hot Chili Peppers,By The Way (Deluxe Version),00s Rock Anthems
Chop Suey!,69,210240,0.000353,0.42,0.929,0.000747,7,0.122,-3.899,0,0.121,127.204,4,0.3,System Of A Down,Toxicity,00s Rock Anthems
Take Me Out,77,237026,0.000423,0.278,0.676,0.000899,9,0.136,-8.821,1,0.0371,104.545,4,0.494,Franz Ferdinand,Franz Ferdinand,00s Rock Anthems
I Miss You,71,227240,0.00136,0.659,0.778,6.79E-06,11,0.0841,-6.423,1,0.0379,110.022,4,0.623,blink-182,blink-182,00s Rock Anthems
Best of You,62,256600,0.00701,0.37,0.944,2.90E-06,1,0.135,-4.979,0,0.0767,130.315,4,0.345,Foo Fighters,Best Of You,00s Rock Anthems
I Write Sins Not Tragedies,77,187613,0.0938,0.567,0.795,0,9,0.114,-4.985,0,0.134,170.06,4,0.635,Panic! At The Disco,A Fever You Can't Sweat Out,00s Rock Anthems
Kryptonite,79,233933,0.00664,0.545,0.865,1.12E-05,11,0.168,-5.708,0,0.0286,99.01,4,0.543,3 Doors Down,The Better Life,00s Rock Anthems
The Kill (Bury Me),69,231533,0.0014,0.309,0.912,0.000271,4,0.582,-3.881,0,0.0646,183.035,3,0.302,Thirty Seconds To Mars,A Beautiful Lie,00s Rock Anthems
Use Somebody,79,230760,0.00552,0.276,0.715,0.000417,0,0.201,-5.356,1,0.0432,137.028,4,0.173,Kings of Leon,Only By The Night,00s Rock Anthems
No One Knows,13,255066,0.0137,0.518,0.538,0.000398,0,0.141,-5.818,1,0.0486,170.953,4,0.687,Queens of the Stone Age,No One Knows (International Version),00s Rock Anthems
Jerk It Out,62,195666,0.0171,0.58,0.981,1.07E-05,8,0.386,-2.603,0,0.06,134.007,4,0.861,Caesars,Love For The Streets,00s Rock Anthems
Uprising,77,304840,0.000202,0.602,0.905,0.064,2,0.117,-4.046,1,0.0775,128.019,4,0.411,Muse,The Resistance,00s Rock Anthems
Hey There Delilah,79,232533,0.872,0.657,0.291,0,2,0.114,-10.572,1,0.0293,103.973,4,0.298,Plain White T's,All That We Needed,00s Rock Anthems
Blurry,28,303920,0.0102,0.44,0.932,0,3,0.142,-4.488,0,0.0584,157.438,4,0.495,Puddle Of Mudd,Come Clean (Repackaged International Version),00s Rock Anthems
American Idiot,78,176346,2.64E-05,0.38,0.988,7.86E-05,1,0.368,-2.042,1,0.0639,186.113,4,0.769,Green Day,American Idiot,00s Rock Anthems
Welcome to the Black Parade,77,311106,0.000289,0.217,0.905,0.00011,2,0.222,-4.103,1,0.0752,96.95,4,0.236,My Chemical Romance,The Black Parade,00s Rock Anthems
Gives You Hell,71,213106,0.0156,0.714,0.725,0,4,0.0726,-6.411,1,0.0402,99.988,4,0.59,The All-American Rejects,When The World Comes Down,00s Rock Anthems
All My Life,11,262733,0.000194,0.582,0.597,0.000273,5,0.517,-5.671,1,0.0512,167.738,4,0.674,Foo Fighters,ONE BY ONE,00s Rock Anthems
Like a Stone,77,293960,0.00797,0.614,0.568,0,7,0.0997,-5.477,0,0.0276,107.849,4,0.516,Audioslave,Audioslave,00s Rock Anthems
It's Been Awhile,65,264706,0.00189,0.509,0.774,0.000549,6,0.143,-4.054,1,0.0338,116.529,4,0.0824,Staind,Break The Cycle,00s Rock Anthems
I Hate Everything About You,75,231480,0.00461,0.498,0.83,0,6,0.139,-5.157,0,0.0421,89.342,4,0.453,Three Days Grace,Three Days Grace (Deluxe Version),00s Rock Anthems
Rollin' (Air Raid Vehicle),74,213760,0.00506,0.599,0.932,0,9,0.269,-3.328,1,0.18,96.234,4,0.692,Limp Bizkit,Chocolate Starfish And The Hot Dog Flavored Water,00s Rock Anthems
Fat Lip,74,178266,0.000618,0.574,0.911,0,9,0.0769,-5.176,1,0.0715,98.075,4,0.573,Sum 41,"All Killer, No Filler",00s Rock Anthems
The Pretender,11,269373,0.000917,0.433,0.959,0,9,0.028,-4.04,1,0.0431,172.984,4,0.365,Foo Fighters,"Echoes, Silence, Patience & Grace",00s Rock Anthems
Savior,73,242280,0.00164,0.549,0.93,6.67E-05,5,0.39,-3.468,0,0.0487,112.447,4,0.526,Rise Against,Appeal To Reason,00s Rock Anthems
Bodies,74,201960,0.00347,0.656,0.932,0.00147,4,0.144,-3.405,0,0.0708,130.936,4,0.544,Drowning Pool,Sinner,00s Rock Anthems
"Sugar, We're Goin Down",79,229093,0.00898,0.499,0.824,0,7,0.163,-4.741,1,0.0794,161.977,4,0.699,Fall Out Boy,From Under The Cork Tree,00s Rock Anthems
Last Nite,70,193373,0.0223,0.624,0.899,0.000155,0,0.0975,-5.71,1,0.0295,104.055,4,0.797,The Strokes,Is This It,00s Rock Anthems
Through Glass,60,282946,0.0417,0.545,0.753,0,3,0.389,-4.618,0,0.036,105.754,4,0.434,Stone Sour,Come What[ever] May,00s Rock Anthems
The Diary of Jane - Single Version,69,200546,5.53E-05,0.374,0.961,0.0834,10,0.138,-4.421,0,0.0851,167.032,4,0.357,Breaking Benjamin,Phobia (Explicit Version),00s Rock Anthems
Down With the Sickness,73,279213,0.000996,0.695,0.876,6.89E-06,3,0.106,-4.262,0,0.0553,89.954,4,0.941,Disturbed,The Sickness,00s Rock Anthems
Wish You Were Here,62,212733,0.000631,0.246,0.768,0.301,9,0.102,-7.48,1,0.0387,169.873,4,0.35,Incubus,Morning View,00s Rock Anthems
Youth Of The Nation,72,256240,0.00834,0.563,0.86,0.0106,8,0.39,-7.533,1,0.0621,97.867,4,0.517,P.O.D.,Satellite (U.S. Version WEA Distribution),00s Rock Anthems
Vertigo,57,194520,0.000153,0.391,0.831,0.00192,2,0.141,-3.892,1,0.0613,139.946,4,0.683,U2,How To Dismantle An Atomic Bomb,00s Rock Anthems
Miss Murder,71,206586,0.000213,0.309,0.875,0.00168,1,0.113,-4.49,1,0.0488,143.526,4,0.725,AFI,DECEMBERUNDERGROUND,00s Rock Anthems
I Bet You Look Good On The Dancefloor,63,173680,0.00225,0.535,0.948,0,6,0.376,-4.19,0,0.0356,103.183,4,0.778,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",00s Rock Anthems
"Steady, As She Goes",64,215266,0.0132,0.524,0.578,0.00921,9,0.108,-4.563,1,0.12,123.669,4,0.537,The Raconteurs,Broken Boy Soldiers,00s Rock Anthems
Falling Away from Me,71,270920,0.00014,0.468,0.769,0.00124,4,0.271,-7.036,1,0.041,104.102,4,0.17,Korn,Issues,00s Rock Anthems
Crawling In The Dark,61,175026,0.000295,0.592,0.932,7.59E-05,6,0.138,-4.491,0,0.0885,93.675,4,0.698,Hoobastank,Hoobastank,00s Rock Anthems
I Stand Alone,67,246040,4.78E-05,0.213,0.93,0,0,0.126,-4.478,1,0.0671,169.221,4,0.386,Godsmack,Faceless,00s Rock Anthems
Woman,63,176306,5.10E-05,0.219,0.952,0.0989,2,0.157,-3.621,1,0.176,112.886,1,0.172,Wolfmother,Wolfmother,00s Rock Anthems
Show Me How to Live,72,277840,0.000336,0.433,0.854,0.000177,9,0.162,-3.868,1,0.0483,89.4,4,0.368,Audioslave,Audioslave,00s Rock Anthems
The Red,71,238400,0.000671,0.509,0.843,0.000803,1,0.348,-3.318,0,0.0488,140.055,3,0.332,Chevelle,Wonder What's Next,00s Rock Anthems
Remedy,70,207213,0.00018,0.546,0.959,0.00144,8,0.0584,-4.664,1,0.082,127.831,4,0.416,Seether,Karma and Effect,00s Rock Anthems
Plug In Baby,65,218000,6.94E-06,0.408,0.965,0.000402,2,0.11,-4.232,1,0.05,136.018,4,0.349,Muse,Origin Of Symmetry,00s Rock Anthems
Change (In the House of Flies) - In The House Of Flies LP Version,69,299533,0.000249,0.269,0.853,0.000246,7,0.118,-4.647,0,0.0854,141.581,4,0.179,Deftones,White Pony (U.S. Version),00s Rock Anthems
Judith,66,247266,3.32E-05,0.365,0.894,0.171,11,0.267,-4.682,0,0.0572,82.305,3,0.31,A Perfect Circle,Mer De Noms,00s Rock Anthems
MIA (feat. Drake),94,210367,0.0143,0.818,0.54,0.000512,6,0.099,-6.35,0,0.0544,97.064,4,0.174,Bad Bunny,MIA (feat. Drake),100% LatinX
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",98,212500,0.153,0.841,0.798,3.33E-06,1,0.0618,-4.206,0,0.229,95.948,4,0.591,DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",100% LatinX
White Boi,59,185282,0.0983,0.83,0.497,0,1,0.0906,-6.94,1,0.052,127.965,4,0.634,Dillon Francis,WUT WUT,100% LatinX
Just Wanna Love You (feat. J. Balvin),73,199230,0.0557,0.687,0.766,0.00107,11,0.146,-6.08,1,0.054,94.973,4,0.303,Cris Cab,Just Wanna Love You (feat. J. Balvin),100% LatinX
Beautiful (feat. Camila Cabello),94,180000,0.346,0.638,0.717,0,2,0.105,-4.722,1,0.0337,100.027,4,0.249,Bazzi,Beautiful (feat. Camila Cabello),100% LatinX
Celoso,87,179693,0.352,0.746,0.703,0,4,0.331,-4.179,0,0.107,166.043,4,0.667,Lele Pons,Celoso,100% LatinX
Good Vibes,73,235720,0.0348,0.823,0.63,6.72E-06,7,0.0964,-3.932,1,0.0797,100.04,4,0.184,Fuego,Good Vibes,100% LatinX
Real Friends,85,223583,0.235,0.701,0.512,5.07E-06,0,0.135,-6.869,0,0.0969,91.947,4,0.663,Camila Cabello,Real Friends,100% LatinX
Pa La Calle,61,243487,0.117,0.695,0.884,0,0,0.104,-6.279,1,0.131,74.992,4,0.854,COASTCITY,Pa La Calle,100% LatinX
Pa MÃ­,58,210865,0.716,0.722,0.584,0.000321,11,0.115,-8.467,0,0.318,169.978,4,0.646,Dalex,Pa MÃ­,100% LatinX
Wake Up in the Sky,92,204664,0.00381,0.8,0.578,0,4,0.359,-5.144,0,0.0485,143.01,4,0.367,Gucci Mane,Wake Up in the Sky,100% LatinX
EstÃ¡ Rico,83,215151,0.266,0.817,0.74,0,11,0.0992,-4.566,0,0.283,130.04,4,0.674,Marc Anthony,EstÃ¡ Rico,100% LatinX
Banana Clip - Spanish Version,57,202373,0.107,0.398,0.66,0,1,0.121,-5.626,0,0.12,83.828,4,0.719,Miguel,Banana Clip (Spanish Version),100% LatinX
YAKWTFGO (feat. Kali Uchis),44,162733,0.00397,0.812,0.748,0,5,0.174,-5.959,0,0.139,132.035,4,0.158,BIA,NICE GIRLS FINISH LAST: CUIDADO,100% LatinX
Come With Me,47,157461,0.0526,0.659,0.734,2.48E-06,10,0.242,-4.008,1,0.046,161.971,4,0.346,Kap G,no kap,100% LatinX
Como Si Na,54,170997,0.232,0.705,0.778,0,9,0.244,-4.101,0,0.177,160.099,4,0.709,Melii,Como Si Na,100% LatinX
Blah,47,188440,0.0255,0.723,0.687,0.000207,11,0.124,-4.632,0,0.2,173.747,4,0.777,Mariah,Blah,100% LatinX
Love N Hennessy REMIX (feat. 2 Chainz & Nicky Jam),64,253714,0.0257,0.928,0.402,0,8,0.0804,-7.569,0,0.451,139.998,4,0.62,A.CHAL,Love N Hennessy REMIX (feat. 2 Chainz & Nicky Jam),100% LatinX
Mi Infinita,56,272000,0.902,0.465,0.675,0.267,10,0.11,-7.555,1,0.0485,119.941,4,0.129,Cuco,Chiquito,100% LatinX
Coqueta,49,174000,0.571,0.632,0.652,0.85,4,0.194,-10.558,1,0.0302,115.031,4,0.594,KatzÃ¹ Oso,Pastel,100% LatinX
Sola,65,209573,0.921,0.471,0.179,0,9,0.101,-10.273,1,0.089,174.273,4,0.194,Jessie Reyez,Sola,100% LatinX
Nuestro Planeta (feat. Reykon),52,202754,0.0857,0.871,0.545,0.000499,0,0.0756,-6.466,0,0.0625,96.035,4,0.415,Kali Uchis,Nuestro Planeta (feat. Reykon),100% LatinX
Hijo de Su Madre,61,178009,0.0646,0.829,0.606,0.391,5,0.281,-7.093,1,0.149,118.051,4,0.732,Omar Apollo,Stereo,100% LatinX
Lento,65,169251,0.149,0.837,0.649,7.63E-05,11,0.103,-5.26,0,0.192,164.002,4,0.948,Rudy Mancuso,Lento,100% LatinX
Dicen,77,220826,0.137,0.817,0.635,7.85E-06,5,0.245,-5.719,0,0.138,103.029,4,0.777,Matt Hunter,Dicen,100% LatinX
BEBE,95,217822,0.172,0.635,0.902,0,0,0.125,-3.559,1,0.109,102.063,4,0.286,6ix9ine,BEBE,100% LatinX
I Like It,95,253390,0.099,0.816,0.726,0,5,0.372,-3.998,0,0.129,136.048,4,0.65,Cardi B,Invasion of Privacy,100% LatinX
Zooted (feat. French Montana & Farruko),74,217652,0.267,0.815,0.626,1.31E-05,6,0.275,-5.139,1,0.103,109.989,4,0.571,Becky G,Zooted (feat. French Montana & Farruko),100% LatinX
Havana - Remix,77,199095,0.398,0.751,0.579,2.28E-05,2,0.133,-4.036,1,0.0321,105.031,4,0.349,Camila Cabello,Havana (Remix),100% LatinX
Pum Pum,45,185743,0.0749,0.736,0.906,0.000123,4,0.12,-1.49,0,0.0566,93.013,4,0.611,Sammi Sanchez,Pum Pum,100% LatinX
Quiero Saber,52,166253,0.00245,0.695,0.818,3.36E-06,6,0.305,-5.532,0,0.0482,102.976,4,0.599,Jesse Baez,Quiero Saber,100% LatinX
Como,38,234373,0.00323,0.543,0.847,0,9,0.0551,-3.574,1,0.0659,92.046,4,0.65,Kim Viera,Como,100% LatinX
Anywhere Contigo,46,193846,0.271,0.841,0.841,2.60E-05,9,0.108,-4.288,1,0.0633,104.01,4,0.823,Breakfast n Vegas,Anywhere Contigo,100% LatinX
No Gratis,44,208800,0.425,0.777,0.546,0,7,0.0809,-9.504,1,0.207,147.173,4,0.952,Messiah,No Gratis,100% LatinX
DÃ­ganle - Tainy Remix,75,211437,0.102,0.84,0.789,0,1,0.309,-4.695,0,0.0949,92.018,4,0.619,Leslie Grace,DÃ­ganle (Tainy Remix),100% LatinX
Sangria Wine,75,202853,0.181,0.831,0.713,0,1,0.0572,-3.646,0,0.094,132.109,4,0.69,Pharrell Williams,Sangria Wine,100% LatinX
All Day,45,198386,0.0797,0.825,0.481,0,2,0.239,-8.6,1,0.0396,121.046,4,0.761,DaniLeigh,Summer With Friends,100% LatinX
Just As I Am,53,224413,0.235,0.682,0.751,0,8,0.11,-5.812,0,0.0675,129.937,4,0.708,Spiff TV,Just As I Am,100% LatinX
Nice & Slow,38,218448,0.00694,0.799,0.616,0.00237,5,0.283,-4.599,0,0.0415,127.023,4,0.697,Nina Sky,Nice & Slow,100% LatinX
Scooby Doo Pa Pa (Remix),60,176702,0.196,0.921,0.965,0.000201,1,0.323,-1.396,1,0.178,120.902,4,0.507,Dj Kass,Scooby Doo Pa Pa (Remix) - Single,100% LatinX
Don't Werk,39,133120,0.108,0.703,0.617,5.61E-05,7,0.271,-8.732,1,0.0731,123.159,4,0.435,Paula DeAnda,Don't Werk,100% LatinX
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",88,201526,0.165,0.792,0.895,0,1,0.0501,-3.112,0,0.0589,94.968,4,0.794,Sofia Reyes,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",100% LatinX
Pa Mi (with Ozuna),77,216689,0.0983,0.596,0.557,0,1,0.0565,-7.522,0,0.134,133.247,5,0.661,Tory Lanez,Pa Mi (with Ozuna),100% LatinX
Lo Siento,68,226183,0.0705,0.746,0.738,0,9,0.043,-3.67,1,0.207,94.808,4,0.63,SUPER JUNIOR,REPLAY - The 8th Repackage Album,100% LatinX
Nuestra Cancion Pt. 2 (feat. ArcÃ¡ngel),46,215003,0.0079,0.493,0.825,0,8,0.129,-4.056,1,0.0798,99.866,4,0.621,Snow Tha Product,Nuestra Cancion Pt. 2 (feat. ArcÃ¡ngel),100% LatinX
La Hora Loca,44,175239,0.0429,0.836,0.725,0,7,0.108,-5.445,0,0.0571,126.035,4,0.76,Jackie Cruz,La Hora Loca,100% LatinX
Dinero - English Version,37,161093,0.00436,0.701,0.779,0,11,0.121,-4.657,0,0.0647,119.974,4,0.451,Trinidad Cardona,Dinero (English Version),100% LatinX
Pum Pum (feat. Kap G & Play-N-Skillz),53,182224,0.149,0.871,0.563,0,10,0.0568,-8.329,0,0.0795,91.998,4,0.62,Messiah,Pum Pum (feat. Kap G & Play-N-Skillz),100% LatinX
Hora Loca,65,215421,0.0507,0.65,0.801,0,7,0.0645,-5.407,0,0.0723,166.16,4,0.74,DJ Africa,Hora Loca,100% LatinX
Better With You,68,196018,0.265,0.784,0.437,6.98E-05,5,0.126,-7.868,1,0.0509,90.003,4,0.47,Michl,Better With You,100% LatinX
NIGHTS LIKE THESE,59,204453,0.133,0.494,0.729,0,2,0.143,-4.934,1,0.161,78.833,4,0.421,Ne-Yo,GOOD MAN (Deluxe),100% LatinX
Alright,43,229038,0.0199,0.561,0.58,0,5,0.0619,-5.612,1,0.0414,84.98,4,0.294,Anthony Ramos,Alright,100% LatinX
Insecure,53,191906,0.369,0.483,0.685,0,10,0.0817,-3.232,0,0.174,185.502,4,0.546,Amara La Negra,Insecure,100% LatinX
Si Una Vez - (If I Once)[Spanglish Version],54,237860,0.0762,0.62,0.823,3.13E-05,5,0.112,-2.436,1,0.0567,175.921,4,0.404,Play-N-Skillz,Si Una Vez [(If I Once)[Spanglish Version]],100% LatinX
Finesse (Remix) [feat. Cardi B],84,217288,0.0185,0.704,0.859,0,5,0.0215,-4.877,0,0.0996,105.115,4,0.926,Bruno Mars,Finesse (Remix) [feat. Cardi B],100% LatinX
Belong To U,44,202574,0.586,0.633,0.765,6.89E-05,1,0.0966,-5.732,1,0.0474,100.934,4,0.489,Fancy Cars,Belong To U,100% LatinX
Sunny Daze,40,167823,0.569,0.853,0.714,0.0101,7,0.0716,-6.177,1,0.0767,92.375,4,0.836,Salaam Remi,South Beach Social Club,100% LatinX
"Uno MÃ¡s Feat. Pharrell Williams, Miguel, Wiz Khalifa, J Alvarez (Remix)",41,241135,0.0652,0.8,0.837,4.52E-05,7,0.0699,-4.488,1,0.099,105.026,4,0.813,N.O.R.E.,"Uno MÃ¡s Remix Feat. Pharrell Williams, Miguel, Wiz Khalifa, J Alvarez",100% LatinX
Island,37,194011,0.118,0.743,0.793,6.07E-05,2,0.227,-5.032,0,0.0546,109.921,4,0.434,Lil Eddie,Island,100% LatinX
Hypnotize (feat. Pam Long) - 2016 Remastered,50,229906,0.165,0.9,0.681,0,9,0.23,-3.758,1,0.274,93.927,4,0.638,The Notorious B.I.G.,Bad Boy 20th Anniversary Box Set Edition,90's Hip-Hop Don't Stop
California Love - Original Version,75,284480,0.0292,0.761,0.847,2.26E-06,7,0.39,-3.068,1,0.0417,91.519,4,0.765,2Pac,The Best of 2Pac - Pt. 1: Thug,90's Hip-Hop Don't Stop
Don't Believe The Hype,54,319493,0.0142,0.884,0.472,0,11,0.142,-13.776,1,0.346,98.425,4,0.826,Public Enemy,It Takes A Nation Of Millions To Hold Us Back,90's Hip-Hop Don't Stop
"Flava In Ya Ear (feat. The Notorious B.I.G., LL Cool J, Busta Rhymes & Rampage) - 2016 Remastered",51,302866,0.203,0.5,0.899,0,9,0.177,-3.907,0,0.467,177.815,4,0.754,Craig Mack,Bad Boy 20th Anniversary Box Set Edition,90's Hip-Hop Don't Stop
The Rain (Supa Dupa Fly),61,246173,0.117,0.854,0.58,0.00471,1,0.0921,-10.008,1,0.217,162.116,4,0.7,Missy Elliott,Supa Dupa Fly,90's Hip-Hop Don't Stop
The World Is Yours,59,290573,0.274,0.678,0.794,1.68E-06,10,0.124,-6.186,0,0.14,87.374,4,0.54,Nas,Illmatic XX,90's Hip-Hop Don't Stop
Hip Hop Hooray,69,267266,0.102,0.862,0.642,0,6,0.272,-13.652,0,0.101,99.201,4,0.765,Naughty By Nature,19 Naughty III,90's Hip-Hop Don't Stop
